京鼎动漫,29546956, /2023-03-01,¥127.40, 大中华寻宝记（21-24册）,二十一世纪出版社,https://product.dangdang.com/29546956.html
京鼎动漫,29575002, /2023-05-01,¥47.40, 大中华寻宝记 神兽图鉴,二十一世纪出版社,https://product.dangdang.com/29575002.html
(日)乃樹坂串緒，朱悦玮 译,29510635, /2023-01-01,¥64.90, 优动漫PAINT（CSP)漫画教室：人物上色技法,辽宁科学技术出版社,https://product.dangdang.com/29510635.html
哒哒猫,29257432, /2018-01-01,¥27.70, 燃烧动漫魂！漫画素描基础教程（超值综合篇）,水利水电出版社,https://product.dangdang.com/29257432.html
肖玮春 刘昊,29256254, /2021-06-01,¥146.90, 游戏动漫人体结构造型手绘技法 第2版,人民邮电出版社,https://product.dangdang.com/29256254.html
贰酒,29332166, /2021-12-01,¥48.80, 拟人动漫人物角色设定技法 万物皆有灵,人民邮电出版社,https://product.dangdang.com/29332166.html
（英国）3dtotal Publishing（3dtotal出版社）,29420848, /2022-06-01,¥78.20, 游戏动漫超级女英雄造型设计技法,电子工业出版社,https://product.dangdang.com/29420848.html
哒哒猫,29608360, /2023-07-01,¥68.40, 二次元动漫 人体结构造型及动态手绘技法,人民邮电出版社,https://product.dangdang.com/29608360.html
咏声动漫 著,29300070, /2021-06-01,¥15.30, 百变校巴认知故事书·肚子里有个小怪物,中国少年儿童出版社,https://product.dangdang.com/29300070.html
京鼎动漫,29546969, /2023-03-01,¥19.90, 大中华寻宝系列12 江苏寻宝记,二十一世纪出版社,https://product.dangdang.com/29546969.html
京鼎动漫,29546971, /2023-03-01,¥19.90, 大中华寻宝系列14 河南寻宝记,二十一世纪出版社,https://product.dangdang.com/29546971.html
京鼎动漫,29546961, /2023-03-01,¥19.90, 大中华寻宝系列4 重庆寻宝记,二十一世纪出版社,https://product.dangdang.com/29546961.html
央视动漫集团有限公司,29665895, /2020-01-01,¥75.60, 全7册快乐读书吧愿望的实现七色花一起长大的玩具神笔马良新大头儿子小头爸爸看图写话训练二年级下册推荐阅读课外书籍,青岛出版社,https://product.dangdang.com/29665895.html
精英动漫 著；力潮文创,29686612, /2024-01-01,¥180.00, 精灵梦叶罗丽1-5,北京工艺美术出版社,https://product.dangdang.com/29686612.html
京鼎动漫,24191300, /2017-03-01,¥28.00, 熊熊乐园环游世界 英国篇,华东师范大学出版社,https://product.dangdang.com/24191300.html
(日)角丸圆,22938687, /2013-04-01,¥39.00, 日本动漫大师讲座9—金田工房和角丸圆讲萌系美少年造型（日本漫画大师倾情奉献，萌系美少年造型的经典之作！）（中青雄狮出品）,中国青年出版社,https://product.dangdang.com/22938687.html
京鼎动漫,29402385, /2022-05-01,¥113.20, 大中华寻宝系列 寻宝记神兽发电站（1-4 共4册）,二十一世纪出版社,https://product.dangdang.com/29402385.html
"""咏声动漫 著 童萌编写组 编""",29516926, /2023-01-01,¥98.30, 百变校巴思维游戏书·第2辑（共8册）连线对对碰/逻辑大侦探/迷宫大冒险/拼图大挑战/视觉大发现/贴纸大救援/涂色大玩家/,中国少年儿童出版社,https://product.dangdang.com/29516926.html
MTJJ；读客文化,29401006, /2022-03-31,¥59.80, 罗小黑战记2（国产动画《罗小黑战记》漫画版第2册！）,江苏凤凰文艺出版社,https://product.dangdang.com/29401006.html
咏声动漫 著,29373652, /2022-01-01,¥12.60, 百变校巴思维游戏书·第一辑 科普常识,中国少年儿童出版社,https://product.dangdang.com/29373652.html
京鼎动漫,697348655, /2023-01-01,¥17.30, 黑龙江寻宝记28漫画书大中华寻宝记系列6-9-12岁小学生一二三四五六年级科普百科漫画书籍恐龙新疆海南寻宝记内蒙古神兽发,二十一世纪出版社集团,https://product.dangdang.com/697348655.html
达力动漫,29153957, /2020-11-01,¥187.50, 罗克数学荒岛历险记（套装共10册）,广东教育出版社,https://product.dangdang.com/29153957.html
京鼎动漫,1269035585, /2023-01-01,¥17.30, 北京寻宝记大中华寻宝记系列科学漫画书北京广东上海青海福建广西河北河南辽宁陕西秦朝澳门四川新疆海南黑龙江内蒙古寻宝记当当自,二十一世纪出版社集团,https://product.dangdang.com/1269035585.html
京鼎动漫,29639508, /2023-10-01,¥37.80, 大中华寻宝系列 恐龙世界寻宝记4 神奇异能果,二十一世纪出版社,https://product.dangdang.com/29639508.html
京鼎动漫,29674968, /2024-01-01,¥226.50, 大中华寻宝系列 寻宝记神兽小剧场(共8册 1-8 赠品 胶套笔记本）,二十一世纪出版社,https://product.dangdang.com/29674968.html
央视动漫集团有限公司,29192835, /2020-01-01,¥9.90, 新大头儿子和小头爸爸（彩色注音版 二年级下册 快乐读书吧）【幼儿启迪】【经典动画】儿童故事书【6-9岁】小学生课外读物,青岛出版社,https://product.dangdang.com/29192835.html
京鼎动漫,29639935, /2023-10-01,¥23.90, 大中华寻宝系列 寻宝记神兽发电站13,二十一世纪出版社,https://product.dangdang.com/29639935.html
[英]3dtotal.com公司 著，了了了 定尔 译,29613965, /2023-06-01,¥37.00, 动漫素描创意手册-建筑场景篇,江苏凤凰美术出版社,https://product.dangdang.com/29613965.html
明月,29622096, /2023-09-01,¥53.90, 动漫游戏学院系列丛书——原画设计实训教程(第2版),上海人民美术出版社,https://product.dangdang.com/29622096.html
[美]罗恩·蒂纳 著，张冉 译,29581119, /2023-07-01,¥63.20, 动漫游戏学院——人物默写想象与创造（经典版）,上海人民美术出版社,https://product.dangdang.com/29581119.html
权智秦,27858170, /2019-04-01,¥66.30, 植物动漫故事3（动漫+AR+3D+中英文，语言生动、表现力强，绘画风格和动画效果符合小朋友的审美爱好）,中国言实出版社,https://product.dangdang.com/27858170.html
权智秦,27858167, /2019-04-01,¥66.30, 植物动漫故事2（动漫+AR+3D+中英文，语言生动、表现力强，绘画风格和动画效果符合小朋友的审美爱好）,中国言实出版社,https://product.dangdang.com/27858167.html
[日]香川久 [日]马越嘉彦,29466480, /2022-09-01,¥76.40, 日本动漫大师讲角色设定与绘制技巧.战斗系美少女,北京联合出版有限公司,https://product.dangdang.com/29466480.html
京鼎动漫,29546976, /2023-03-01,¥19.90, 大中华寻宝系列19 香港寻宝记,二十一世纪出版社,https://product.dangdang.com/29546976.html
京鼎动漫,29546963, /2023-03-01,¥19.90, 大中华寻宝系列6 四川寻宝记,二十一世纪出版社,https://product.dangdang.com/29546963.html
京鼎动漫,29546982, /2023-03-01,¥19.90, 大中华寻宝系列25 河北寻宝记,二十一世纪出版社,https://product.dangdang.com/29546982.html
京鼎动漫,29546980, /2023-03-01,¥19.90, 大中华寻宝系列23 广西寻宝记,二十一世纪出版社,https://product.dangdang.com/29546980.html
宫玉选 郭靖,26481071, /2019-01-01,¥87.20, 中国动漫游戏海外发展报告（2018）,社会科学文献出版社,https://product.dangdang.com/26481071.html
 ,23659556, ,¥37.20, 当代动漫产业影响力研究,中国财政经济出版社一,https://product.dangdang.com/23659556.html
京鼎动漫,25105394, /2017-06-01,¥28.00, 熊熊乐园环游世界 巴西篇,华东师范大学出版社,https://product.dangdang.com/25105394.html
哒哒猫,29292558, /2021-10-01,¥55.70, 甜心公主秀 动漫线稿手绘涂色集,水利水电出版社,https://product.dangdang.com/29292558.html
京鼎动漫,29468712, /2022-09-01,¥254.80, 大中华寻宝系列 寻宝记神兽发电站（1-9 共9册）,二十一世纪出版社,https://product.dangdang.com/29468712.html
京鼎动漫,29546959, /2023-03-01,¥19.90, 大中华寻宝系列2 北京寻宝记,二十一世纪出版社,https://product.dangdang.com/29546959.html
咏声动漫 著,29300079, /2021-06-01,¥15.30, 百变校巴认知故事书·解救大恐龙,中国少年儿童出版社,https://product.dangdang.com/29300079.html
京鼎动漫,25123487, /2017-07-01,¥28.00, 熊熊乐园环游世界 法国篇,华东师范大学出版社,https://product.dangdang.com/25123487.html
麦草动漫,22485690, /2011-08-01,¥24.50, 二兔等着瞧,上海人民出版社,https://product.dangdang.com/22485690.html
咏声动漫 著,29373654, /2022-01-01,¥12.60, 百变校巴思维游戏书·第一辑 安全认知,中国少年儿童出版社,https://product.dangdang.com/29373654.html
MUDON-木东,29644874, /2023-11-01,¥116.40, 3D辅助板绘教室 日系动漫人体结构实例教程,人民邮电出版社,https://product.dangdang.com/29644874.html
精英动漫,29415437, /2022-05-01,¥63.80, 叶罗丽梦幻涂色书(套装4册),四川少年儿童出版社,https://product.dangdang.com/29415437.html
郑州壹卡通动漫科技有限公司,23793337, /2015-09-01,¥23.10, 神州探险系列漫画丛书：长江漂流记,大连出版社,https://product.dangdang.com/23793337.html
京鼎动漫,1845782425, /2022-02-01,¥17.40, 秦朝寻宝记大中华寻宝记系列科学漫画书北京广东上海青海福建广西河北河南辽宁陕西秦朝澳门四川新疆海南黑龙江内蒙古寻宝记当当自,二十一世纪出版社集团,https://product.dangdang.com/1845782425.html
知音动漫,28488216, /2019-11-01,¥39.80, 诗词美人图鉴：古风线描涂色集,湖北美术出版社,https://product.dangdang.com/28488216.html
咏声动漫 著,29403092, /2022-04-18,¥245.10, 百变校巴认知游戏玩具礼盒·故事书+游戏书（共6册）色彩艺术/数学启蒙/逻辑推理/解救大恐龙/闯祸的玻璃球/肚子里有个小怪,中国少年儿童出版社,https://product.dangdang.com/29403092.html
"孩之宝 著,童趣出版有限公司 编",28555495, /2020-06-01,¥93.10, 小马宝莉 宝宝睡前故事，早教启蒙，动漫卡通,人民邮电出版社,https://product.dangdang.com/28555495.html
宋磊著,22741324, /2012-04-01,¥44.10, 解码外国动漫：源流 创作 观念 营销,中国传媒大学出版社,https://product.dangdang.com/22741324.html
