author,book_id,inputdate,price,title,upaddress,url
不详,11739046000, /2014-06-01,¥37.68, 色铅笔画动漫100例综合篇 不详 人民邮电出版社【正版】,人民邮电出版社,https://product.dangdang.com/11739046000.html
崔钟雷,1621328516, /2012-06-01,¥8.94, 小笨熊动漫 奥秘天下：孩子爱看的宝藏奥秘传奇(注音版) 崔钟雷 北方联合出版传媒（集团）股份有限公司，万卷出版公司 97,北方联合出版传媒（集团）股份有限公司，万卷出版公司,https://product.dangdang.com/1621328516.html
 ,11761996073, /2002-05-01,¥7.35, 流氓兔 动漫时尚的文化解读 Kim Jae In,中国青年出版社,https://product.dangdang.com/11761996073.html
"张亚杰,唐一帆,牛雪彤 编著",11756404149, /2014-06-01,¥19.18, 色铅笔画动漫100例 Q版篇【正版书籍】,人民邮电出版社,https://product.dangdang.com/11756404149.html
京鼎动漫 编绘,1042556457, /2017-08-01,¥12.60, 熊熊乐园环游世界法国篇 华东师范大学出版社,华东师范大学出版社,https://product.dangdang.com/1042556457.html
咏声动漫|编者:晨光数媒,1505443525, /2019-01-01,¥6.30, 儿童性格形成关键期识字故事书(星际杯总冠军)/猪猪侠竞球小英雄,晨光,https://product.dangdang.com/1505443525.html
华强方特(深圳)动漫有限公司,26910241, /2019-01-01,¥4.90, 做优秀的自己熊出没之探险日记自然拼音认读图画故事书 “野人”出没,南京大学出版社,https://product.dangdang.com/26910241.html
京鼎动漫,1788158897, ,¥12.40, 大中华寻宝记系列寻宝记神兽发电站5科普漫画书娱乐更能学知识寻宝系列+科普漫画神兽发电站第5册无内蒙古寻宝记6-12岁三四,二十一世纪出版社集团有限公司,https://product.dangdang.com/1788158897.html
食蝉,29234608, /2021-05-01,¥194.80, 【当当网 正版书籍】蛹 食蝉手绘插画作品集 食蝉个人画集 动漫插画手绘珍藏画册（精美线稿）,人民邮电出版社,https://product.dangdang.com/29234608.html
戴文婷,1278866187, /2017-08-01,¥13.95, 嗨，我喜欢你2 动漫/幽默 大陆漫画,中国友谊出版公司,https://product.dangdang.com/1278866187.html
