id,name,info,type,pingfen,people
12,十二怒汉,导演: Sidney Lumet主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,1957/美国/剧情,9.4,514338
13,哈尔的移动城堡,导演: 宫崎骏 Hayao Miyazaki主演: 倍赏千惠子 Chieko Baishô / 木村拓...,2004/日本/爱情 动画 奇幻 冒险,9.1,1067526
14,让子弹飞,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010/中国大陆 中国香港/剧情 喜剧 动作 西部,9.0,1760700
15,何以为家,导演: 娜丁·拉巴基 Nadine Labaki主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018/黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国/剧情,9.1,1080139
16,摔跤吧！爸爸,导演: 涅提·蒂瓦里 Nitesh Tiwari主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016/印度/剧情 传记 运动 家庭,9.0,1617700
17,猫鼠游戏,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 莱昂纳多·迪卡普里奥 L...,2002/美国 加拿大/传记 犯罪 剧情,9.1,1076567
18,天空之城,导演: 宫崎骏 Hayao Miyazaki主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986/日本/动画 奇幻 冒险,9.2,912479
19,鬼子来了,导演: 姜文 Wen Jiang主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000/中国大陆/剧情 喜剧,9.3,650676
20,海蒂和爷爷,导演: 阿兰·葛斯彭纳 Alain Gsponer主演: 阿努克·斯特芬 Anuk Steffen /...,2015/德国 瑞士/剧情 冒险 家庭,9.3,659262
21,少年派的奇幻漂流,导演: 李安 Ang Lee主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012/美国 中国台湾 英国 加拿大/剧情 奇幻 冒险,9.1,1389314
22,钢琴家,导演: 罗曼·波兰斯基 Roman Polanski主演: 艾德里安·布洛迪 Adrien Brod...,2002/英国 法国 波兰 德国/剧情 传记 战争 音乐,9.3,670987
23,大话西游之月光宝盒,导演: 刘镇伟 Jeffrey Lau主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995/中国香港 中国大陆/喜剧 爱情 奇幻 古装,9.0,1259736
24,指环王2：双塔奇兵,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002/美国 新西兰/剧情 动作 奇幻 冒险,9.2,782428
25,闻香识女人,导演: 马丁·布莱斯 Martin Brest主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992/美国/剧情,9.1,924279
1,死亡诗社,导演: 彼得·威尔 Peter Weir主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989/美国/剧情,9.2,763609
2,绿皮书,导演: 彼得·法雷里 Peter Farrelly主演: 维果·莫腾森 Viggo Mortensen /...,2018/美国 中国大陆/剧情 喜剧 传记 音乐,8.9,1715643
3,罗马假日,导演: 威廉·惠勒 William Wyler主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953/美国/喜剧 剧情 爱情,9.1,977649
4,大闹天宫,导演: 万籁鸣 Laiming Wan主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆)/中国大陆/剧情 动画 奇幻 古装,9.4,457765
5,天堂电影院,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 菲利普·努瓦雷 Philipp...,1988/意大利 法国/剧情 爱情,9.2,696487
6,黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski主...,1999/美国/动作 科幻,9.1,866670
7,指环王1：护戒使者,导演: 彼得·杰克逊 Peter Jackson主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001/新西兰 美国/剧情 动作 奇幻 冒险,9.1,878563
8,教父2,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola主演: 阿尔·帕西诺 A...,1974/美国/剧情 犯罪,9.3,575697
9,狮子王,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff主演: 乔纳森·泰勒·托马...,1994/美国/动画 冒险 歌舞,9.1,877379
