ISBM,book_id,isset,kaiben,package,paper,subcategory
 9787530760147,29629776, 否, 32开, 平装-胶订, 胶版纸,文学
 9787530763902,29420509, 否, 16开, 平装-胶订, 胶版纸,文学
 9787502074159,29395816, 否, 32开, 精装, 纯质纸,社会小说
 9787538768732,29266110, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 9787559634818,28505249, 是, 16开, 平装-胶订, 胶版纸,社会小说
 9787571511623,29384287, 否, 24开, 平装-胶订, 胶版纸,文学
 9787559854544,29491834, 否, 32开, 平装-胶订, 胶版纸,文学理论
 9787020141401,25323390, 否, 大16开, 精装, 胶版纸,外国
 9787100232425,29671738, 否, 32开, 平装-胶订, 胶版纸,写作与修辞
 9787530762523,29445829, 否, 16开, 平装-胶订, 胶版纸,文学
 7539703000156,28476129, 是, 16开, 平装-胶订, 胶版纸,文学
 9787530775875,29713652, 否, 32开, 平装-胶订, 胶版纸,文学
 9787511374509,11069228107, 是, 16开, 平装-胶订, 胶版纸,侦探/悬疑/推理小说
 9787532781157,29266951, 否, 32开, 精装, 纯质纸,文学理论
 9787532189885,29692732, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 9787020137343,25283706, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 9787549265558,29285923, 是, 16开, 平装-胶订, 胶版纸,侦探/悬疑/推理小说
 9787559728012,29405723, 否, 32开, 平装-胶订, 胶版纸,文学
 9787532157808,1068964171, 否, 16开, 平装, 胶版纸,社会小说
 9787530669358,23856220, , 16开, 平装, 胶版纸,中国
 9787530773437,29432387, 否, 32开, 平装-胶订, 胶版纸,文学
 9787532186815,29522727, 否, 16开, 平装, 书写纸,中国
 9787107331794,26514927, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 9787530774052,29568620, 否, 32开, 平装-胶订, 胶版纸,文学
 9787541498800,26439563, 否, 32开, 平装-胶订, 轻型纸,快乐成长
 9787301333730,29476235, 否, 16开, 精装, 胶版纸,文学评论与鉴赏
 9780451530530,1002263474, 否, 32开, 平装-胶订, 胶版纸,小说 Fiction
 9787549599646,1396714997, 否, 16开, 平装-胶订, 胶版纸,中国现当代随笔
 9787532188482,29637600, 否, 16开, 平装-胶订, 书写纸,文集
 29154585,29154585, 是, 32开, 精装, 轻型纸,科幻故事
 9787549616213,25251417, 否, 32开, 平装-胶订, 轻型纸,欧洲
 9787559708908,25575535, 否, 32开, 平装-胶订, 胶版纸,文学
 9787559710116,25535504, 否, 32开, 平装-胶订, 胶版纸,经典必读
 ,12100012773, 否, , , ,综合
 9787505745469,26485958, 否, 32开, 平装-胶订, 胶版纸,欧洲
 9787559706690,25302193, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787559705570,25581903, 否, 32开, 平装-胶订, 胶版纸,文学
 9787020156894,29129174, 否, 32开, 精装, 胶版纸,中国当代小说
 9787530766408,25226649, 否, 32开, 平装-胶订, 胶版纸,亲子共读
 9787534296024,25581902, 否, 32开, 平装-胶订, 胶版纸,经典必读
 9787530763001,29444010, 否, 16开, 平装-胶订, 胶版纸,文学
 9787541155864,28526106, 否, 32开, 平装-胶订, 胶版纸,科幻小说
 9787020137152,25283698, 否, 16开, 平装-胶订, 胶版纸,课外阅读
 9787020136209,29650604, 否, 32开, 平装, 胶版纸,中国当代小说
 28973139,28973139, 是, 32开, 平装-胶订, 轻型纸,文学
 9787557551971,28542501, 否, 32开, 平装-胶订, 胶版纸,文学
 9787533968663,29430227, 是, 16开, 平装-胶订, 胶版纸,中国当代小说
 23284867,23284867, 否, 大32开, 平装-胶订, 胶版纸,开学必备
 9787115501967,26918465, 否, 16开, 平装-胶订, 胶版纸,文学
 9787558429583,29501542, 否, 32开, 平装-胶订, 轻型纸,文学
 9787020168651,29391654, 否, 32开, 平装-胶订, 胶版纸,中国当代小说
 7534211359151,27949328, 是, 32开, 平装-胶订, 胶版纸,经典必读
 9787020179244,29576813, 否, 32开, 平装, 胶版纸,外国随笔
 9787572611964,1465943277, 否, 32开, 平装-胶订, 轻型纸,侦探/悬疑/推理小说
 9787541493409,25273398, 否, 32开, 平装-胶订, 轻型纸,文学
 9787540488734,26481161, 否, 32开, 精装, 胶版纸,外国随笔
 9787201146720,29323262, 是, 16开, 平装-胶订, 轻型纸,官场小说
 9787559714459,27901834, 否, 32开, 平装-胶订, 轻型纸,文学
 9787533949563,25200701, 否, 16开, 平装-胶订, 胶版纸,中国当代小说
 29403152,29403152, 是, 32开, 平装, 轻型纸,其他
 9787304083199,24184361, 否, 32开, 平装-胶订, 胶版纸,文学
 9787532965908,11239584014, 否, 16开, 平装-胶订, 胶版纸,文集
 9787538768886,29272022, 否, 16开, 平装-胶订, 胶版纸,课外阅读
