喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee, 周星驰 Stephen Ch,1999,中国香港,喜剧 剧情 爱情,8.8,1003191
美国往事,赛尔乔·莱翁内 Sergio Leone, 罗伯特·德尼罗 Robert De Niro ,1984,美国 意大利,犯罪 剧情,9.2,426627
致命ID,詹姆斯·曼高德 James Mangold, 约翰·库萨克 John Cusack / 雷,2003,美国,剧情 悬疑 惊悚,8.9,858860
杀人回忆,奉俊昊 Joon-ho Bong, 宋康昊 Kang-ho Song / 金相庆 Sang-kyun,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.9,748319
哈利·波特与密室,Chris Columbus, 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛,2002,英国 美国,奇幻 冒险,8.9,796686
红辣椒,今敏 Satoshi Kon, 林原惠美 Megumi Hayashibara / 江守彻 Toru,2006,日本,动画 悬疑 科幻 惊悚,9.1,491327
七宗罪,大卫·芬奇 David Fincher, 摩根·弗里曼 Morgan Freeman / 布,1995,美国,剧情 犯罪 悬疑 惊悚,8.8,971204
加勒比海盗,戈尔·维宾斯基 Gore Verbinski, 约翰尼·德普 Johnny Depp / ,2003,美国,动作 冒险 奇幻,8.8,890170
一一,杨德昌 Edward Yang, 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai,2000,中国台湾 日本,剧情 爱情 家庭,9.1,418357
狩猎,托马斯·温特伯格 Thomas Vinterberg, 麦斯·米科尔森 Mads Mik,2012,丹麦 瑞典,剧情,9.1,410926
唐伯虎点秋香,李力持 Lik-Chi Lee, 周星驰 Stephen Chow / 巩俐 Li Gong / 陈,1993,中国香港,喜剧 爱情 古装,8.7,1119964
7号房的礼物,李焕庆 Hwan-kyeong Lee, 柳承龙 Seung-yong Ryoo / 朴信惠 Shi,2013,韩国,剧情 喜剧 家庭,8.9,575901
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima, 中谷美纪 Miki Nakatani / 瑛太 E,2006,日本,剧情 歌舞,8.9,723791
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan, 克里斯蒂安·贝尔 Christ,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.9,748825
爱在黎明破晓前,理查德·林克莱特 Richard Linklater, 伊桑·霍克 Ethan Hawke ,1995,美国 奥地利 瑞士,剧情 爱情,8.8,713617
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino, 艾米·汉莫 Armie Hammer / ,2017,意大利 法国 巴西 美国,剧情 爱情 同性,8.8,749474
甜蜜蜜,陈可辛 Peter Chan, 黎明 Leon Lai / 张曼玉 Maggie Cheung / ,1996,中国香港,剧情 爱情,8.9,587714
断背山,李安 Ang Lee, 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,726818
剪刀手爱德华,蒂姆·波顿 Tim Burton, 约翰尼·德普 Johnny Depp / 薇诺娜·,1990,美国,剧情 奇幻 爱情,8.7,1061493
