area,company_name,detail_url,id,job_exp,job_name,job_price,need_EB
北京·昌平·城北,中视金穗影视文化传媒(北京)有限公司,http://jobs.zhaopin.com/CC487704320J40591679708.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,61,1年以下,工作稳定+双休+住宿（JAVA实习生）,8千-1.6万,大专
北京·昌平·城北,天阳科技,http://jobs.zhaopin.com/CC120408370J40588079108.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,62,1-3年,java（无经验可培养）,7千-9千,本科
北京·昌平·城北,北京阿提拉科技有限公司,http://jobs.zhaopin.com/CC147646000J40040419014.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,63,经验不限,对日Java开发工程师,1.5万-2万,学历不限
北京·昌平·城北,北京智网信测科技有限公司,http://jobs.zhaopin.com/CC464699080J40174953211.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,64,经验不限,java开发助理,8千-1.2万,本科
北京·昌平·城北,天阳科技,http://jobs.zhaopin.com/CC120408370J40588074708.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,65,1-3年,银行java(无经验可培养),7千-9千,本科
北京·昌平·城北,北京炎黄新天科技有限公司,http://jobs.zhaopin.com/CC452807030J40157358007.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,66,经验不限,java初级开发工程师,4千-6千,大专
北京·昌平·城北,中邮科技,http://jobs.zhaopin.com/CC000650320J40547838910.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,67,1-3年,软件开发工程师java,2万-3万,本科
北京·昌平·城北,北京祥达德豹科技有限公司,http://jobs.zhaopin.com/CCL1381818230J40576442410.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,68,经验不限,java开发,1.5万-1.7万,大专
北京·昌平·城北,郑州沃克尔人力资源管理有限责任公司,http://jobs.zhaopin.com/CCL1260681960J40523471909.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,69,经验不限,JAVA开发12-24k双休,1.2万-2.4万,学历不限
北京·昌平·城北,京东集团,http://jobs.zhaopin.com/CC192921310J40575598309.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,70,5-10年,Java,4万-8万·16薪,本科
北京·昌平·城北,北京乐可威信息技术有限公司,http://jobs.zhaopin.com/CC192381420J40532191013.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,71,1-3年,初级java工程师,1万-1.2万,大专
北京·昌平·城北,深圳市法本信息技术股份有限公司,http://jobs.zhaopin.com/CC385622410J40543906106.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,72,3-5年,急招Java（支付、大厂、oncall）,1.4万-1.7万,大专
北京·昌平·城北,经纬恒润,http://jobs.zhaopin.com/CC000571490J40540689911.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,73,无经验,Java软件实习生,140-280/天,本科
北京·昌平·城北,北京酷车易美网络科技有限公司,http://jobs.zhaopin.com/CC366418080J40542525402.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,74,经验不限,高级Java开发工程师 (MJ000318),2万-4万,学历不限
北京·昌平·城北,中思创新(北京)科技有限公司,http://jobs.zhaopin.com/CCL1479243980J40557742011.htm?refcode=4019&srccode=401901&preactionid=957749b8-b456-4f4e-ba72-b7c86c23685b,75,经验不限,java开发工程师,8千-1.6万,本科
